,Actual Arr Time (Local),Actual Arr Time (UTC),Actual Dep Time (Local),Actual Dep Time (UTC),Actual Duration,Aircraft,Airline,Arr Airport,Arr City,Arr Connect,Arr Country,Arr Delay,Arr Lat,Arr Long,Arr Name,Arr Timezone,Class,Date,Dep Airport,Dep City,Dep Country,Dep Delay,Dep Lat,Dep Long,Dep Name,Dep Timezone,Distance,Domestic/International,Duration,Flight,Registration,Scheduled Arr Time (Local),Scheduled Arr Time (UTC),Scheduled Dep Time (Local),Scheduled Dep Time (UTC),Scheduled Duration,Seat,Timing Data,Unnamed: 18,Last flight arrival (UTC),Time since last flight
20,2016-06-06 18:48:00,2016-06-06 10:48:00,2016-06-05 17:19:00,2016-06-05 21:19:00,13:29:00,B788,Hainan,PEK,Beijing,,China,-17.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2016-06-05 00:00:00,BOS,Boston,United States,9.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,6736.622182955974,International,809.0,HU482,B2730,2016-06-06 19:05:00,2016-06-06 11:05:00,2016-06-05 17:10:00,2016-06-05 21:10:00,13:55:00,48K,FlightStats,,2016-03-28 18:30:00,69 days 02:49:00
21,2016-07-03 15:42:00,2016-07-03 20:42:00,2016-07-03 17:01:00,2016-07-03 09:01:00,11:41:00,B744,United,ORD,Chicago,,United States,-33.0,41.9786,-87.9048,Chicago O'Hare International Airport,America/Chicago,Economy,2016-07-03 00:00:00,PEK,Beijing,China,51.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6578.877648816723,International,701.0,UA850,N122UA,2016-07-03 16:15:00,2016-07-03 21:15:00,2016-07-03 16:10:00,2016-07-03 08:10:00,13:05:00,,FlightStats,,2016-06-05 10:48:00,27 days 22:13:00
22,2016-07-05 23:44:00,2016-07-06 03:44:00,2016-07-05 21:16:00,2016-07-06 02:16:00,01:28:00,A320,United,RDU,Raleigh-durham,,United States,-31.0,35.87760162,-78.78749847,Raleigh Durham International Airport,America/New_York,Economy,2016-07-05 00:00:00,ORD,Chicago,United States,10.0,41.9786,-87.9048,Chicago O'Hare International Airport,America/Chicago,646.1980538139968,Domestic,88.0,UA671,N458UA,2016-07-06 00:15:00,2016-07-06 04:15:00,2016-07-05 21:06:00,2016-07-06 02:06:00,02:09:00,,FlightStats,,2016-07-03 20:42:00,2 days 05:34:00
23,2016-07-06 17:23:00,2016-07-06 21:23:00,2016-07-06 16:21:00,2016-07-06 20:21:00,01:02:00,E170,American,PHL,Philadelphia,,United States,11.0,39.87189865,-75.2410965,Philadelphia International Airport,America/New_York,Economy,2016-07-06 00:00:00,RDU,Raleigh-durham,United States,46.0,35.87760162,-78.78749847,Raleigh Durham International Airport,America/New_York,336.7959831499706,Domestic,62.0,AA4611,N103HQ,2016-07-06 17:12:00,2016-07-06 21:12:00,2016-07-06 15:35:00,2016-07-06 19:35:00,01:37:00,,FlightStats,,2016-07-06 03:44:00,0 days 16:37:00
24,2016-07-07 23:08:00,2016-07-08 06:08:00,2016-07-07 20:49:00,2016-07-08 00:49:00,05:19:00,A321,American,SFO,San Francisco,,United States,-11.0,37.61899948,-122.375,San Francisco International Airport,America/Los_Angeles,Economy,2016-07-07 00:00:00,PHL,Philadelphia,United States,24.0,39.87189865,-75.2410965,Philadelphia International Airport,America/New_York,2521.2348645297866,Domestic,319.0,AA709,N153UW,2016-07-07 23:19:00,2016-07-08 06:19:00,2016-07-07 20:25:00,2016-07-08 00:25:00,05:54:00,,FlightStats,,2016-07-06 21:23:00,1 days 03:26:00
25,2016-07-10 16:34:00,2016-07-10 20:34:00,2016-07-10 08:42:00,2016-07-10 15:42:00,04:52:00,B753,United,BOS,Boston,,United States,-6.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Economy,2016-07-10 00:00:00,SFO,San Francisco,United States,32.0,37.61899948,-122.375,San Francisco International Airport,America/Los_Angeles,2704.1178149321436,Domestic,292.0,UA768,N78866,2016-07-10 16:40:00,2016-07-10 20:40:00,2016-07-10 08:10:00,2016-07-10 15:10:00,05:30:00,10C,FlightStats,,2016-07-08 06:08:00,2 days 09:34:00
26,2016-12-15 10:37:00,2016-12-15 15:37:00,2016-12-15 09:56:00,2016-12-15 14:56:00,00:41:00,A320,United,EWR,Newark,1.0,United States,2.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Recliner First,2016-12-15 00:00:00,BOS,Boston,United States,41.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,200.54071928173732,Domestic,41.0,UA1710,N429UA,2016-12-15 10:35:00,2016-12-15 15:35:00,2016-12-15 09:15:00,2016-12-15 14:15:00,01:20:00,2A,FlightStats,,2016-07-10 20:34:00,157 days 18:22:00
27,2016-12-16 15:10:00,2016-12-16 07:10:00,2016-12-15 12:59:00,2016-12-15 17:59:00,13:11:00,B772,United,PEK,Beijing,,China,10.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Lie-flat Business,2016-12-15 00:00:00,EWR,Newark,United States,59.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,6830.922823928072,International,791.0,UA89,N57016,2016-12-16 15:00:00,2016-12-16 07:00:00,2016-12-15 12:00:00,2016-12-15 17:00:00,14:00:00,10L,FlightStats,,2016-12-15 15:37:00,0 days 02:22:00
28,2016-12-23 08:44:00,2016-12-23 00:44:00,2016-12-23 02:50:00,2016-12-22 18:50:00,05:54:00,A330,AirAsia,KUL,Kuala Lumpur,,Malaysia,-11.0,2.745579958,101.7099991,Kuala Lumpur International Airport,Asia/Kuala_Lumpur,Lie-flat Business,2016-12-23 00:00:00,PEK,Beijing,China,20.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,2733.231511117194,International,354.0,D7317,9MXXF,2016-12-23 08:55:00,2016-12-23 00:55:00,2016-12-23 02:30:00,2016-12-22 18:30:00,06:25:00,,FlightStats,,2016-12-15 07:10:00,7 days 11:40:00
29,2016-12-23 22:35:00,2016-12-23 14:35:00,2016-12-23 21:52:00,2016-12-23 13:52:00,00:43:00,A319,Silkair,SIN,Singapore,1.0,Singapore,-15.0,1.35019,103.994003,Singapore Changi Airport,Asia/Singapore,Economy,2016-12-23 00:00:00,KUL,Kuala Lumpur,Malaysia,7.0,2.745579958,101.7099991,Kuala Lumpur International Airport,Asia/Kuala_Lumpur,184.71279235331798,International,43.0,MI341,9VSBE,2016-12-23 22:50:00,2016-12-23 14:50:00,2016-12-23 21:45:00,2016-12-23 13:45:00,01:05:00,,FlightStats,,2016-12-23 00:44:00,0 days 13:08:00
